#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669073624 898614942 769430484 238016383 209346617 83587120 76888998 825600 930308 91181.90 93848.25 3940.04 2879.63
1669073634 898614942 769430484 238016383 209346617 83587173 76889048 825600 930308 91180.79 93848.41 3940.18 2879.97
1669073645 898614942 769430484 238016383 209346617 83587232 76889092 825600 930308 91182.19 93848.09 3939.62 2880.39
1669073655 898614942 769430484 238016383 209346617 83587277 76889147 825600 930308 91182.38 93849.71 3939.60 2878.64
1669073665 898614942 769430484 238016383 209346617 83587331 76889194 825600 930308 91181.21 93848.76 3940.11 2879.21
1669073676 898614942 769430484 238016383 209346617 83587379 76889247 825600 930308 91181.54 93848.02 3939.47 2878.61
1669073686 898614942 769430484 238016383 209346617 83587422 76889303 825600 930308 91182.57 93848.56 3938.25 2879.93
1669073696 898614942 769430484 238016383 209346617 83587467 76889358 825600 930308 91182.32 93847.96 3939.05 2879.89
1669073706 898614942 769430484 238016383 209346617 83587517 76889409 825600 930308 91181.37 93847.64 3939.46 2880.30
1669073717 898614942 769430484 238016383 209346617 83587565 76889461 825600 930308 91182.29 93846.51 3939.21 2880.71
1669073727 898614942 769430484 238016383 209346617 83587615 76889510 825600 930308 91181.63 93847.63 3939.81 2881.28
1669073737 898614942 769430484 238016383 209346617 83587671 76889557 825600 930308 91181.00 93847.61 3940.88 2880.25
1669073747 898614942 769430484 238016383 209346617 83587720 76889606 825600 930308 91181.43 93849.06 3939.47 2878.87
1669073758 898614942 769430484 238016383 209346617 83587775 76889652 825600 930308 91181.20 93850.03 3939.78 2877.82
1669073768 898614942 769430484 238016383 209346617 83587833 76889695 825600 930308 91181.34 93848.11 3940.48 2880.35
1669073778 898614942 769430484 238016383 209346617 83587885 76889744 825600 930308 91181.46 93848.37 3940.50 2880.04
1669073788 898614942 769430484 238016383 209346617 83587933 76889796 825600 930308 91180.18 93848.84 3941.32 2879.57
1669073799 898614942 769430484 238016383 209346617 83587985 76889845 825600 930308 91182.93 93849.58 3939.57 2878.28
1669073809 898614942 769430484 238016383 209346617 83588036 76889895 825600 930308 91180.05 93848.90 3941.41 2878.97
1669073819 898614942 769430484 238016383 209346617 83588090 76889943 825600 930308 91180.80 93847.24 3941.11 2881.28
1669073830 898614942 769430484 238016383 209346617 83588134 76890001 825600 930308 91180.59 93847.29 3941.34 2881.06
1669073840 898614942 769430484 238016383 209346617 83588191 76890046 825600 930308 91180.27 93848.44 3940.73 2879.41
1669073850 898614942 769430484 238016383 209346617 83588243 76890095 825600 930308 91181.76 93846.73 3940.09 2881.25
1669073860 898614942 769430484 238016383 209346617 83588286 76890153 825600 930308 91181.11 93847.33 3940.82 2881.08
1669073871 898614942 769430484 238016383 209346617 83588337 76890202 825600 930308 91181.41 93849.22 3940.24 2879.07
1669073881 898614942 769430484 238016383 209346617 83588387 76890254 825600 930308 91182.32 93847.25 3938.51 2880.71
1669073891 898614942 769430484 238016383 209346617 83588439 76890304 825600 930308 91181.95 93847.56 3939.38 2880.40
1669073901 898614942 769430484 238016383 209346617 83588487 76890356 825600 930308 91183.41 93847.16 3937.91 2881.36
1669073912 898614942 769430484 238016383 209346617 83588536 76890409 825600 930308 91183.73 93846.53 3937.59 2881.98
1669073922 898614942 769430484 238016383 209346617 83588584 76890461 825600 930308 91183.87 93847.45 3938.07 2879.91
1669073932 898614942 769430484 238016383 209346617 83588641 76890504 825600 930308 91182.95 93846.06 3938.38 2881.91
1669073943 898614942 769430484 238016383 209346617 83588689 76890555 825600 930308 91183.08 93845.85 3938.83 2881.52
1669073953 898614942 769430484 238016383 209346617 83588741 76890606 825600 930308 91182.27 93846.12 3939.05 2881.30
1669073963 898614942 769430484 238016383 209346617 83588790 76890656 825600 930308 91182.67 93846.24 3939.16 2881.25
1669073973 898614942 769430484 238016383 209346617 83588836 76890712 825600 930308 91183.16 93847.37 3938.29 2880.00
1669073984 898614942 769430484 238016383 209346617 83588887 76890760 825600 930308 91182.23 93848.25 3938.66 2880.16
1669073994 898614942 769430484 238016383 209346617 83588939 76890810 825600 930308 91183.22 93846.64 3938.59 2880.86
1669074004 898614942 769430484 238016383 209346617 83588986 76890863 825600 930308 91181.36 93848.83 3939.55 2879.57
1669074014 898614942 769430484 238016383 209346617 83589036 76890912 825600 930308 91181.57 93848.30 3939.81 2879.57
1669074025 898614942 769430484 238016383 209346617 83589088 76890961 825600 930308 91183.88 93847.92 3938.10 2881.11
1669074035 898614942 769430484 238016383 209346617 83589145 76891004 825600 930308 91181.60 93849.15 3940.41 2878.21
1669074045 898614942 769430484 238016383 209346617 83589195 76891053 825600 930308 91181.21 93847.84 3941.27 2880.04
1669074056 898614942 769430484 238016383 209346617 83589249 76891101 825600 930308 91181.11 93848.56 3940.37 2879.30
1669074066 898614942 769430484 238016383 209346617 83589297 76891154 825600 930308 91181.12 93848.04 3939.77 2880.95
1669074076 898614942 769430484 238016383 209346617 83589348 76891205 825600 930308 91180.93 93848.69 3940.05 2879.67
1669074086 898614942 769430484 238016383 209346617 83589397 76891255 825600 930308 91182.80 93849.27 3938.59 2879.25
1669074097 898614942 769430484 238016383 209346617 83589444 76891310 825600 930308 91183.26 93847.81 3938.14 2881.12
1669074107 898614942 769430484 238016383 209346617 83589490 76891365 825600 930308 91182.37 93849.40 3938.59 2878.95
1669074117 898614942 769430484 238016383 209346617 83589537 76891417 825600 930308 91183.57 93848.77 3938.36 2879.60
1669074127 898614942 769430484 238016383 209346617 83589591 76891464 825600 930308 91182.03 93849.18 3939.46 2879.29
1669074138 898614942 769430484 238016383 209346617 83589640 76891514 825600 930308 91182.69 93849.47 3938.78 2877.89
1669074148 898614942 769430484 238016383 209346617 83589697 76891560 825600 930308 91183.83 93848.32 3937.99 2879.16
1669074158 898614942 769430484 238016383 209346617 83589748 76891609 825600 930308 91182.44 93846.50 3938.88 2880.96
1669074168 898614942 769430484 238016383 209346617 83589793 76891665 825600 930308 91182.39 93849.21 3938.07 2879.19
1669074179 898614942 769430484 238016383 209346617 83589845 76891713 825600 930308 91182.81 93847.28 3938.51 2880.16
1669074189 898614942 769430484 238016383 209346617 83589896 76891764 825600 930308 91183.46 93848.16 3938.36 2880.30
